PERIODO,MAT_CUR,CAMPUS_ALUMNO,BLOQUE,ID_ALUMNO,CALIFICACIONES_ALUMNO,CALIFICACIONES_EXIGIBLES,CALIFICACIONES_CURSO,RANGO_CALIFICACIONES,PORC_CALIFICACIONES_EXIGIBLES,PORC_CALIFICACIONES_REALIZADAS,ULTIMA_ENTREGA_ALUMNO,ULTIMA_CALIFICACION_CURSO,ASISTENCIA,HRS_ACCESO,DIAS_ACCESO,PRIMER_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_PERIODO,ULTIMO_ACCESO_CURSO,INICIO_CURSO,FIN_CURSO,NRC,LC,ID_INST
202100,CMMU-853,CFP PIURA,,176524,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP TALARA,,769746,0,0,8,,,0,,12/08/2021,1,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,1418241,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,1272908,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,1418242,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,1418243,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP PAITA,,1418469,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP TALARA,,59972,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP PIURA,,1418757,0,0,8,,,0,,12/08/2021,0.67,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP PIURA,,420102,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP TALARA,,59939,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,197074,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP PIURA,,1418750,0,0,8,,,0,,12/08/2021,0.67,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,708480,0,0,8,,,0,,12/08/2021,0.33,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP PIURA,,86425,0,0,8,,,0,,12/08/2021,0.33,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CMMU-853,CFP SULLANA,,1418239,0,0,8,,,0,,12/08/2021,0,,,,,,,11/29/2021,12/01/2021,,A3,
202100,CCAU-912,CFP SULLANA,,173222,0,4,4,,0,0,,12/06/2021,,,,,,,,12/13/2021,12/19/2021,,FQ,
202100,CCAU-911,CFP PIURA,,1419526,0,2,6,,0,0,,12/06/2021,0,,,,,,,12/06/2021,12/12/2021,,FP,
202100,CCAU-911,CFP SULLANA,,473179,0,2,6,,0,0,,12/06/2021,0,,,,,,,12/06/2021,12/12/2021,,FP,
202100,CCAU-911,CFP SULLANA,,472024,0,2,6,,0,0,,12/06/2021,0,,,,,,,12/06/2021,12/12/2021,,FP,
202100,CCAU-911,CFP PIURA,,1418775,0,2,6,,0,0,,12/06/2021,0,,,,,,,12/06/2021,12/12/2021,,FP,
202100,CCAU-912,CFP SULLANA,,1418246,0,4,4,,0,0,,12/06/2021,,,,,,,,12/13/2021,12/19/2021,,FQ,
202100,CCAU-912,CFP PIURA,,1419532,0,4,4,,0,0,,12/06/2021,,,,,,,,12/13/2021,12/19/2021,,FQ,
202100,CCAU-921,CFP SULLANA,,473179,0,1,1,,0,0,,12/06/2021,,,,,,,,12/20/2021,12/29/2021,,FR,
202100,CCAU-910,CFP PIURA,,1419529,0,2,2,,0,0,,12/06/2021,0,,,,,,,11/29/2021,12/05/2021,,FO,
202100,CCAU-912,CFP SULLANA,,237629,0,4,4,,0,0,,12/06/2021,,,,,,,,12/13/2021,12/19/2021,,FQ,
202100,CCAU-912,CFP SULLANA,,45422,0,4,4,,0,0,,12/06/2021,,,,,,,,12/13/2021,12/19/2021,,FQ,
202100,CCAU-911,CFP PIURA,,1419533,0,2,6,,0,0,,12/06/2021,0,,,,,,,12/06/2021,12/12/2021,,FP,
202100,CCAU-910,CFP SULLANA,,45422,0,2,2,,0,0,,12/06/2021,0,,,,,,,11/29/2021,12/05/2021,,FO,
202100,CCAU-921,CFP SULLANA,,49467,0,1,1,,0,0,,12/06/2021,,,,,,,,12/20/2021,12/29/2021,,FR,
202100,CCAU-910,CFP SULLANA,,237629,0,2,2,,0,0,,12/06/2021,0,,,,,,,11/29/2021,12/05/2021,,FO,
202100,CCAU-912,CFP PIURA,,1419527,0,4,4,,0,0,,12/06/2021,,,,,,,,12/13/2021,12/19/2021,,FQ,
202100,CCAU-921,CFP PIURA,,1419522,0,1,1,,0,0,,12/06/2021,,,,,,,,12/20/2021,12/29/2021,,FR,
202100,CCAU-910,CFP PIURA,,1419522,0,2,2,,0,0,,12/06/2021,1,,,,,,,11/29/2021,12/05/2021,,FO,
202100,CCAU-913,CFP PAITA,,1418745,0,0,4,,,0,,12/06/2021,0,,,,,,,11/29/2021,12/05/2021,,FK,
202100,CCAU-913,CFP PIURA,,437962,0,0,4,,,0,,12/06/2021,0,,,,,,,11/29/2021,12/05/2021,,FK,
202100,CCAU-921,CFP PIURA,,1419534,0,1,1,,0,0,,12/06/2021,,,,,,,,12/20/2021,12/29/2021,,FR,
202100,CCAU-910,CFP PIURA,,1419527,0,2,2,,0,0,,12/06/2021,0.5,,,,,,,11/29/2021,12/05/2021,,FO,
202100,CCAU-921,CFP PIURA,,1419523,0,1,1,,0,0,,12/06/2021,,,,,,,,12/20/2021,12/29/2021,,FR,
202100,CCAU-910,CFP PIURA,,1418775,0,2,2,,0,0,,12/06/2021,0.33,,,,,,,11/29/2021,12/05/2021,,FO,
202100,CCAU-910,CFP SULLANA,,473179,0,2,2,,0,0,,12/06/2021,0,,,,,,,11/29/2021,12/05/2021,,FO,
202100,CCAU-913,CFP PAITA,,1418746,0,0,4,,,0,,12/06/2021,0,,,,,,,11/29/2021,12/05/2021,,FK,
202100,CCAU-911,CFP PIURA,,1419531,0,2,6,,0,0,,12/06/2021,0,,,,,,,12/06/2021,12/12/2021,,FP,
202100,CCAU-913,CFP TALARA,,1418876,0,0,4,,,0,,12/06/2021,0,,,,,,,11/29/2021,12/05/2021,,FK,
202100,CCAU-913,CFP PAITA,,1200302,0,0,4,,,0,,12/06/2021,0,,,,,,,11/29/2021,12/05/2021,,FK,
202100,CCAU-912,CFP SULLANA,,472024,0,4,4,,0,0,,12/06/2021,,,,,,,,12/13/2021,12/19/2021,,FQ,
